"filename", "language", "Dart", "comment", "blank", "total"
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\app_responsive.dart", "Dart", 6, 0, 2, 8
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\constants.dart", "Dart", 125, 6, 20, 151
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\models\portfolio_asset.dart", "Dart", 76, 0, 8, 84
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\models\search_asset_model.dart", "Dart", 94, 0, 13, 107
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\services\auth.dart", "Dart", 71, 107, 21, 199
"f:\flutter_apps\Track Wealth New\track_wealth\lib\common\services\dashboard.dart", "Dart", 182, 7, 46, 235
"f:\flutter_apps\Track Wealth New\track_wealth\lib\main.dart", "Dart", 89, 0, 6, 95
"f:\flutter_apps\Track Wealth New\track_wealth\lib\page_wrapper\page_wrapper.dart", "Dart", 42, 0, 4, 46
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\analysis_page\analysis.dart", "Dart", 0, 2, 1, 3
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\auth\auth_page.dart", "Dart", 274, 2, 17, 293
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\auth\phone_auth.dart", "Dart", 268, 0, 24, 292
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\dashboard.dart", "Dart", 108, 0, 14, 122
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\columns_filter.dart", "Dart", 46, 1, 7, 54
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\header.dart", "Dart", 69, 1, 13, 83
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\operations\add_operation_dialog\add_operation_dialog.dart", "Dart", 267, 6, 22, 295
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\operations\add_operation_dialog\asset_search\searchable_dropdown.dart", "Dart", 82, 0, 14, 96
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\operations\operations.dart", "Dart", 55, 1, 8, 64
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\header\subheader.dart", "Dart", 100, 1, 17, 118
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\dashboard\portfolio\portfolio.dart", "Dart", 155, 8, 25, 188
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\profile\profile.dart", "Dart", 52, 0, 9, 61
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\shimmers\dashboard_shimmer.dart", "Dart", 55, 0, 5, 60
"f:\flutter_apps\Track Wealth New\track_wealth\lib\pages\side_bar\side_bar.dart", "Dart", 130, 2, 14, 146
"Total", "-", 2346, 144, 310, 2800